Cmaj C E G   1 5 8 
Cmin C D# G   1 4 8 
Caug C E G#   1 5 9 
Cdim C D# F#   1 4 7 
Csus2 C D G   1 3 8 
Csus4 C F G   1 6 8 
CM7 C E G B   1 5 8 12 
Cm7 C D# G A#   1 4 8 11 
C7 C E G A#   1 5 8 11 
Caug7 C E G# A#   1 5 9 11 
Cdim7 C D# F# A   1 4 7 10 
Co7 C D# F# A#   1 4 7 11 
CM7sus2 C D G B   1 3 8 12 
CM7sus4 C F G B   1 6 8 12 
C7sus2 C D G A#   1 3 8 11 
C7sus4 C F G A#   1 6 8 11 
CM9 C E G B D   1 5 8 12 15 
Cm9 C D# G A# D   1 4 8 11 15 
C9 C E G A# D   1 5 8 11 15 
Caug9 C E G# A# D   1 5 9 11 15 
Cdim9 C D# F# A D   1 4 7 10 15 
CM9sus2 C D G B D   1 3 8 12 15 
CM9sus4 C F G B D   1 6 8 12 15 
C9sus2 C D G A# D   1 3 8 11 15 
C9sus4 C F G A# D   1 6 8 11 15 
CM11 C E G B D F   1 5 8 12 15 18 
Cm11 C D# G A# D F   1 4 8 11 15 18 
C11 C E G A# D F   1 5 8 11 15 18 
Caug11 C E G# A# D F   1 5 9 11 15 18 
CM11sus2 C D G B D F   1 3 8 12 15 18 
C11sus2 C D G A# D F   1 3 8 11 15 18 
CmM7 C D# G B   1 4 8 12 
CmM7(9) C D# G B D   1 4 8 12 15 
CM6 C E G A   1 5 8 10 
Cm6 C D# G A   1 4 8 10 
CM6(9) C E G A D   1 5 8 10 15 
Cm6(9) C D# G A D   1 4 8 10 15 
C#maj C# F G#   2 6 9 
C#min C# E G#   2 5 9 
C#aug C# F A   2 6 10 
C#dim C# E G   2 5 8 
C#sus2 C# D# G#   2 4 9 
C#sus4 C# F# G#   2 7 9 
C#M7 C# F G# C   2 6 9 13 
C#m7 C# E G# B   2 5 9 12 
C#7 C# F G# B   2 6 9 12 
C#aug7 C# F A B   2 6 10 12 
C#dim7 C# E G A#   2 5 8 11 
C#o7 C# E G B   2 5 8 12 
C#M7sus2 C# D# G# C   2 4 9 13 
C#M7sus4 C# F# G# C   2 7 9 13 
C#7sus2 C# D# G# B   2 4 9 12 
C#7sus4 C# F# G# B   2 7 9 12 
C#M9 C# F G# C D#   2 6 9 13 16 
C#m9 C# E G# B D#   2 5 9 12 16 
C#9 C# F G# B D#   2 6 9 12 16 
C#aug9 C# F A B D#   2 6 10 12 16 
C#dim9 C# E G A# D#   2 5 8 11 16 
C#M9sus2 C# D# G# C D#   2 4 9 13 16 
C#M9sus4 C# F# G# C D#   2 7 9 13 16 
C#9sus2 C# D# G# B D#   2 4 9 12 16 
C#9sus4 C# F# G# B D#   2 7 9 12 16 
C#M11 C# F G# C D# F#   2 6 9 13 16 19 
C#m11 C# E G# B D# F#   2 5 9 12 16 19 
C#11 C# F G# B D# F#   2 6 9 12 16 19 
C#aug11 C# F A B D# F#   2 6 10 12 16 19 
C#M11sus2 C# D# G# C D# F#   2 4 9 13 16 19 
C#11sus2 C# D# G# B D# F#   2 4 9 12 16 19 
C#mM7 C# E G# C   2 5 9 13 
C#mM7(9) C# E G# C D#   2 5 9 13 16 
C#M6 C# F G# A#   2 6 9 11 
C#m6 C# E G# A#   2 5 9 11 
C#M6(9) C# F G# A# D#   2 6 9 11 16 
C#m6(9) C# E G# A# D#   2 5 9 11 16 
Dmaj D F# A   3 7 10 
Dmin D F A   3 6 10 
Daug D F# A#   3 7 11 
Ddim D F G#   3 6 9 
Dsus2 D E A   3 5 10 
Dsus4 D G A   3 8 10 
DM7 D F# A C#   3 7 10 14 
Dm7 D F A C   3 6 10 13 
D7 D F# A C   3 7 10 13 
Daug7 D F# A# C   3 7 11 13 
Ddim7 D F G# B   3 6 9 12 
Do7 D F G# C   3 6 9 13 
DM7sus2 D E A C#   3 5 10 14 
DM7sus4 D G A C#   3 8 10 14 
D7sus2 D E A C   3 5 10 13 
D7sus4 D G A C   3 8 10 13 
DM9 D F# A C# E   3 7 10 14 17 
Dm9 D F A C E   3 6 10 13 17 
D9 D F# A C E   3 7 10 13 17 
Daug9 D F# A# C E   3 7 11 13 17 
Ddim9 D F G# B E   3 6 9 12 17 
DM9sus2 D E A C# E   3 5 10 14 17 
DM9sus4 D G A C# E   3 8 10 14 17 
D9sus2 D E A C E   3 5 10 13 17 
D9sus4 D G A C E   3 8 10 13 17 
DM11 D F# A C# E G   3 7 10 14 17 20 
Dm11 D F A C E G   3 6 10 13 17 20 
D11 D F# A C E G   3 7 10 13 17 20 
Daug11 D F# A# C E G   3 7 11 13 17 20 
DM11sus2 D E A C# E G   3 5 10 14 17 20 
D11sus2 D E A C E G   3 5 10 13 17 20 
DmM7 D F A C#   3 6 10 14 
DmM7(9) D F A C# E   3 6 10 14 17 
DM6 D F# A B   3 7 10 12 
Dm6 D F A B   3 6 10 12 
DM6(9) D F# A B E   3 7 10 12 17 
Dm6(9) D F A B E   3 6 10 12 17 
D#maj D# G A#   4 8 11 
D#min D# F# A#   4 7 11 
D#aug D# G B   4 8 12 
D#dim D# F# A   4 7 10 
D#sus2 D# F A#   4 6 11 
D#sus4 D# G# A#   4 9 11 
D#M7 D# G A# D   4 8 11 15 
D#m7 D# F# A# C#   4 7 11 14 
D#7 D# G A# C#   4 8 11 14 
D#aug7 D# G B C#   4 8 12 14 
D#dim7 D# F# A C   4 7 10 13 
D#o7 D# F# A C#   4 7 10 14 
D#M7sus2 D# F A# D   4 6 11 15 
D#M7sus4 D# G# A# D   4 9 11 15 
D#7sus2 D# F A# C#   4 6 11 14 
D#7sus4 D# G# A# C#   4 9 11 14 
D#M9 D# G A# D F   4 8 11 15 18 
D#m9 D# F# A# C# F   4 7 11 14 18 
D#9 D# G A# C# F   4 8 11 14 18 
D#aug9 D# G B C# F   4 8 12 14 18 
D#dim9 D# F# A C F   4 7 10 13 18 
D#M9sus2 D# F A# D F   4 6 11 15 18 
D#M9sus4 D# G# A# D F   4 9 11 15 18 
D#9sus2 D# F A# C# F   4 6 11 14 18 
D#9sus4 D# G# A# C# F   4 9 11 14 18 
D#M11 D# G A# D F G#   4 8 11 15 18 21 
D#m11 D# F# A# C# F G#   4 7 11 14 18 21 
D#11 D# G A# C# F G#   4 8 11 14 18 21 
D#aug11 D# G B C# F G#   4 8 12 14 18 21 
D#M11sus2 D# F A# D F G#   4 6 11 15 18 21 
D#11sus2 D# F A# C# F G#   4 6 11 14 18 21 
D#mM7 D# F# A# D   4 7 11 15 
D#mM7(9) D# F# A# D F   4 7 11 15 18 
D#M6 D# G A# C   4 8 11 13 
D#m6 D# F# A# C   4 7 11 13 
D#M6(9) D# G A# C F   4 8 11 13 18 
D#m6(9) D# F# A# C F   4 7 11 13 18 
Emaj E G# B   5 9 12 
Emin E G B   5 8 12 
Eaug E G# C   5 9 13 
Edim E G A#   5 8 11 
Esus2 E F# B   5 7 12 
Esus4 E A B   5 10 12 
EM7 E G# B D#   5 9 12 16 
Em7 E G B D   5 8 12 15 
E7 E G# B D   5 9 12 15 
Eaug7 E G# C D   5 9 13 15 
Edim7 E G A# C#   5 8 11 14 
Eo7 E G A# D   5 8 11 15 
EM7sus2 E F# B D#   5 7 12 16 
EM7sus4 E A B D#   5 10 12 16 
E7sus2 E F# B D   5 7 12 15 
E7sus4 E A B D   5 10 12 15 
EM9 E G# B D# F#   5 9 12 16 19 
Em9 E G B D F#   5 8 12 15 19 
E9 E G# B D F#   5 9 12 15 19 
Eaug9 E G# C D F#   5 9 13 15 19 
Edim9 E G A# C# F#   5 8 11 14 19 
EM9sus2 E F# B D# F#   5 7 12 16 19 
EM9sus4 E A B D# F#   5 10 12 16 19 
E9sus2 E F# B D F#   5 7 12 15 19 
E9sus4 E A B D F#   5 10 12 15 19 
EM11 E G# B D# F# A   5 9 12 16 19 22 
Em11 E G B D F# A   5 8 12 15 19 22 
E11 E G# B D F# A   5 9 12 15 19 22 
Eaug11 E G# C D F# A   5 9 13 15 19 22 
EM11sus2 E F# B D# F# A   5 7 12 16 19 22 
E11sus2 E F# B D F# A   5 7 12 15 19 22 
EmM7 E G B D#   5 8 12 16 
EmM7(9) E G B D# F#   5 8 12 16 19 
EM6 E G# B C#   5 9 12 14 
Em6 E G B C#   5 8 12 14 
EM6(9) E G# B C# F#   5 9 12 14 19 
Em6(9) E G B C# F#   5 8 12 14 19 
Fmaj F A C   6 10 13 
Fmin F G# C   6 9 13 
Faug F A C#   6 10 14 
Fdim F G# B   6 9 12 
Fsus2 F G C   6 8 13 
Fsus4 F A# C   6 11 13 
FM7 F A C E   6 10 13 17 
Fm7 F G# C D#   6 9 13 16 
F7 F A C D#   6 10 13 16 
Faug7 F A C# D#   6 10 14 16 
Fdim7 F G# B D   6 9 12 15 
Fo7 F G# B D#   6 9 12 16 
FM7sus2 F G C E   6 8 13 17 
FM7sus4 F A# C E   6 11 13 17 
F7sus2 F G C D#   6 8 13 16 
F7sus4 F A# C D#   6 11 13 16 
FM9 F A C E G   6 10 13 17 20 
Fm9 F G# C D# G   6 9 13 16 20 
F9 F A C D# G   6 10 13 16 20 
Faug9 F A C# D# G   6 10 14 16 20 
Fdim9 F G# B D G   6 9 12 15 20 
FM9sus2 F G C E G   6 8 13 17 20 
FM9sus4 F A# C E G   6 11 13 17 20 
F9sus2 F G C D# G   6 8 13 16 20 
F9sus4 F A# C D# G   6 11 13 16 20 
FM11 F A C E G A#   6 10 13 17 20 23 
Fm11 F G# C D# G A#   6 9 13 16 20 23 
F11 F A C D# G A#   6 10 13 16 20 23 
Faug11 F A C# D# G A#   6 10 14 16 20 23 
FM11sus2 F G C E G A#   6 8 13 17 20 23 
F11sus2 F G C D# G A#   6 8 13 16 20 23 
